"","Site","value","Species","Genus","Family"
"1","S1",0.03735,"Other taxa","Other taxa","Other taxa"
"2","S10",0.0176799999999999,"Other taxa","Other taxa","Other taxa"
"3","S2",0.06587,"Other taxa","Other taxa","Other taxa"
"4","S3",0.01552,"Other taxa","Other taxa","Other taxa"
"5","S4",0.02656,"Other taxa","Other taxa","Other taxa"
"6","S5",0.02313,"Other taxa","Other taxa","Other taxa"
"7","S6",0.01354,"Other taxa","Other taxa","Other taxa"
"8","S7",0.02383,"Other taxa","Other taxa","Other taxa"
"9","S8",0.02873,"Other taxa","Other taxa","Other taxa"
"10","S9",0.02501,"Other taxa","Other taxa","Other taxa"
"11","S1",0.55826,"Brassica napus","Brassica","Brassicaceae"
"12","S2",0.35539,"Brassica napus","Brassica","Brassicaceae"
"13","S3",0.7416,"Brassica napus","Brassica","Brassicaceae"
"14","S4",0.603,"Brassica napus","Brassica","Brassicaceae"
"15","S5",0.6384,"Brassica napus","Brassica","Brassicaceae"
"16","S6",0.67892,"Brassica napus","Brassica","Brassicaceae"
"17","S7",0.77289,"Brassica napus","Brassica","Brassicaceae"
"18","S8",0.67228,"Brassica napus","Brassica","Brassicaceae"
"19","S9",0.65595,"Brassica napus","Brassica","Brassicaceae"
"20","S10",0.78312,"Brassica napus","Brassica","Brassicaceae"
"21","S1",0.0369,"Brassica rapa","Brassica","Brassicaceae"
"22","S2",0.03386,"Brassica rapa","Brassica","Brassicaceae"
"23","S3",0.07255,"Brassica rapa","Brassica","Brassicaceae"
"24","S4",0.18241,"Brassica rapa","Brassica","Brassicaceae"
"25","S5",0.15825,"Brassica rapa","Brassica","Brassicaceae"
"26","S6",0.14252,"Brassica rapa","Brassica","Brassicaceae"
"27","S7",0.07361,"Brassica rapa","Brassica","Brassicaceae"
"28","S8",0.07684,"Brassica rapa","Brassica","Brassicaceae"
"29","S9",0.12242,"Brassica rapa","Brassica","Brassicaceae"
"30","S10",0.08964,"Brassica rapa","Brassica","Brassicaceae"
"31","S1",0.0097,"Brassica oleracea","Brassica","Brassicaceae"
"32","S2",0.00413,"Brassica oleracea","Brassica","Brassicaceae"
"33","S3",0.03103,"Brassica oleracea","Brassica","Brassicaceae"
"34","S4",0.02895,"Brassica oleracea","Brassica","Brassicaceae"
"35","S5",0.02896,"Brassica oleracea","Brassica","Brassicaceae"
"36","S6",0.0376,"Brassica oleracea","Brassica","Brassicaceae"
"37","S7",0.04401,"Brassica oleracea","Brassica","Brassicaceae"
"38","S8",0.02634,"Brassica oleracea","Brassica","Brassicaceae"
"39","S9",0.02417,"Brassica oleracea","Brassica","Brassicaceae"
"40","S10",0.05093,"Brassica oleracea","Brassica","Brassicaceae"
"41","S1",0.00085,"Raphanus sativus","Raphanus","Brassicaceae"
"42","S2",0.00114,"Raphanus sativus","Raphanus","Brassicaceae"
"43","S3",0.00111,"Raphanus sativus","Raphanus","Brassicaceae"
"44","S4",0.00736,"Raphanus sativus","Raphanus","Brassicaceae"
"45","S5",0.02195,"Raphanus sativus","Raphanus","Brassicaceae"
"46","S6",0.01339,"Raphanus sativus","Raphanus","Brassicaceae"
"47","S7",0.00104,"Raphanus sativus","Raphanus","Brassicaceae"
"48","S8",0.00043,"Raphanus sativus","Raphanus","Brassicaceae"
"49","S9",0.01311,"Raphanus sativus","Raphanus","Brassicaceae"
"50","S10",0.00227,"Raphanus sativus","Raphanus","Brassicaceae"
"51","S1",0.03077,"Lupinus angustifolius","Lupinus","Fabaceae"
"52","S2",0.04464,"Lupinus angustifolius","Lupinus","Fabaceae"
"53","S3",0.01538,"Lupinus angustifolius","Lupinus","Fabaceae"
"54","S4",0.00749,"Lupinus angustifolius","Lupinus","Fabaceae"
"55","S5",0.01059,"Lupinus angustifolius","Lupinus","Fabaceae"
"56","S6",0.00807,"Lupinus angustifolius","Lupinus","Fabaceae"
"57","S7",0.00935,"Lupinus angustifolius","Lupinus","Fabaceae"
"58","S8",0.01577,"Lupinus angustifolius","Lupinus","Fabaceae"
"59","S9",0.01561,"Lupinus angustifolius","Lupinus","Fabaceae"
"60","S10",0.00648,"Lupinus angustifolius","Lupinus","Fabaceae"
"61","S1",0.00072,"Pisum sativum","Pisum","Fabaceae"
"62","S2",0.00038,"Pisum sativum","Pisum","Fabaceae"
"63","S3",0.00201,"Pisum sativum","Pisum","Fabaceae"
"64","S4",0.00819,"Pisum sativum","Pisum","Fabaceae"
