gene_id,CAZyme1,CAZyme2,substrate,bacteria,contig_id,gene,depth,Site
k71_103500_21485,GH24,NA,NA,Franconibacter,k71_103500,21485,9.6,S1
k71_103500_21486,GH24,NA,NA,Franconibacter,k71_103500,21486,18,S1
k71_103500_21495,GH58,NA,NA,Franconibacter,k71_103500,21495,25,S1
k71_103500_21500,GH0,NA,NA,Franconibacter,k71_103500,21500,26,S1
k71_103500_21504,GT4,NA,NA,Franconibacter,k71_103500,21504,24,S1
k71_104548_24254,GT4,NA,NA,Sodalis,k71_104548,24254,21,S1
k71_104548_24257,CE9,NA,host glycan,Sodalis,k71_104548,24257,19,S1
k71_104548_24258,GH3,NA,NA,Sodalis,k71_104548,24258,24,S1
k71_104548_24259,GH4,NA,NA,Sodalis,k71_104548,24259,22,S1
k71_104548_24260,CE8,NA,NA,Sodalis,k71_104548,24260,23,S1
k71_104553_24385,GT4,NA,NA,Sodalis,k71_104553,24385,22,S1
k71_104553_24393,GH12,NA,NA,Sodalis,k71_104553,24393,22,S1
k71_104553_24394,GT2,NA,NA,Sodalis,k71_104553,24394,24,S1
k71_104553_24398,CBM50,NA,NA,Sodalis,k71_104553,24398,23,S1
k71_104553_24402,GH5_29,NA,NA,Sodalis,k71_104553,24402,23,S1
k71_104553_24410,CBM50,NA,NA,Sodalis,k71_104553,24410,22,S1
k71_104553_24411,CBM50,NA,NA,Sodalis,k71_104553,24411,19,S1
k71_104553_24413,CBM50,NA,NA,Sodalis,k71_104553,24413,20,S1
k71_104699_24869,GH24,NA,peptidoglycan,Rosenbergiella,k71_104699,24869,1.9,S1
k71_104725_25111,GT4,NA,NA,Rosenbergiella,k71_104725,25111,1.3,S1
k71_105021_26224,GT4,NA,NA,Sodalis,k71_105021,26224,18,S1
k71_105021_26225,GH16_22,NA,NA,Sodalis,k71_105021,26225,21,S1
k71_106133_28846,GH27,NA,NA,Acinetobacter,k71_106133,28846,2.3,S1
k71_106143_28868,GT2,NA,NA,Rosenbergiella,k71_106143,28868,1.7,S1
k71_107329_32163,GT2,NA,NA,Acinetobacter,k71_107329,32163,2,S1
k71_10883_31541,GH28,NA,pectin,Acinetobacter,k71_10883,31541,2.7,S1
k71_10998_32037,GT4,NA,NA,Rosenbergiella,k71_10998,32037,1.4,S1
k71_110405_915,GH103,NA,NA,Rosenbergiella,k71_110405,915,2.3,S1
k71_1110_4457,GT39,NA,NA,Rosenbergiella,k71_1110,4457,2,S1
k71_111192_2929,GH23,NA,NA,Acinetobacter,k71_111192,2929,3.2,S1
k71_111240_3088,GT121,NA,NA,Rosenbergiella,k71_111240,3088,1.9,S1
k71_112535_5299,CE5,NA,NA,Acinetobacter,k71_112535,5299,2.5,S1
k71_112661_5799,CBM50,NA,NA,Rosenbergiella,k71_112661,5799,1.8,S1
k71_113410_7604,GH23,NA,NA,Sodalis,k71_113410,7604,99,S1
k71_113413_7612,GH27,NA,NA,Acinetobacter,k71_113413,7612,2.4,S1
k71_113872_8391,PL1_1,NA,NA,Acinetobacter,k71_113872,8391,2,S1
k71_114697_9648,GT0,NA,NA,Rosenbergiella,k71_114697,9648,2,S1
k71_115333_11849,GH28,NA,NA,Rosenbergiella,k71_115333,11849,1.9,S1
k71_116160_13610,GT1,NA,NA,Acinetobacter,k71_116160,13610,3.3,S1
k71_117970_18113,AA1_3,NA,NA,Rosenbergiella,k71_117970,18113,1.7,S1
k71_118130_18316,GH16_1,NA,NA,Acinetobacter,k71_118130,18316,3.4,S1
k71_118514_18971,GH24,NA,NA,Sodalis,k71_118514,18971,15,S1
k71_121095_25887,CBM1,NA,NA,Rosenbergiella,k71_121095,25887,4.1,S1
k71_121685_27493,GT2,NA,NA,Rosenbergiella,k71_121685,27493,3.3,S1
k71_12170_34508,PL4_2,NA,NA,Acinetobacter,k71_12170,34508,1.4,S1
k71_122073_28427,GT69,NA,NA,Acinetobacter,k71_122073,28427,3,S1
k71_123240_31190,GT2,NA,NA,Acinetobacter,k71_123240,31190,1.6,S1
k71_123895_32661,GH24,NA,NA,Rosenbergiella,k71_123895,32661,2.1,S1
k71_124530_33672,GH65,NA,NA,Rosenbergiella,k71_124530,33672,1.8,S1
k71_126694_1786,GH78,NA,NA,Acinetobacter,k71_126694,1786,2.7,S1
k71_128367_4814,GH3,NA,NA,Acinetobacter,k71_128367,4814,2.1,S1
k71_129854_10046,GT2,NA,NA,Sodalis,k71_129854,10046,22,S1
k71_129973_10486,GH28,NA,NA,Sodalis,k71_129973,10486,53,S1
k71_129981_10493,GH28,NA,NA,Sodalis,k71_129981,10493,15,S1
k71_130701_12113,GT119,NA,NA,Acinetobacter,k71_130701,12113,2.7,S1
k71_131369_14592,CE4,NA,exo-polysaccharide,Acinetobacter,k71_131369,14592,1.7,S1
k71_132971_19347,GH171,NA,NA,Sodalis,k71_132971,19347,22,S1
